scenario,actual_cluster_n,actual_cluster_size,estimated_cluster_n,estimate_cluster_size
Cluster = 4;N = 100,9,4.454545454545455,22,3.909090909090909
Cluster = 4;N = 100,11,5.22680412371134,22,4
Cluster = 4;N = 100,9,4.49,24,3.625
Cluster = 4;N = 100,9,4.483870967741936,21,4.238095238095238
Cluster = 4;N = 100,10,4.795698924731183,20,4.35
Cluster = 4;N = 100,10,4.686868686868687,21,3.9523809523809526
Cluster = 4;N = 100,10,4.848484848484849,23,3.739130434782609
Cluster = 4;N = 100,10,4.77,23,4.043478260869565
Cluster = 4;N = 100,10,4.66,21,4.380952380952381
Cluster = 4;N = 100,10,4.609999999999999,21,4.095238095238095
Cluster = 4;N = 100,9,4.32,23,4.086956521739131
Cluster = 4;N = 100,11,5.515151515151516,23,3.782608695652174
Cluster = 4;N = 100,11,5.255102040816326,23,3.9130434782608696
Cluster = 4;N = 100,9,4.494845360824742,22,3.909090909090909
Cluster = 4;N = 100,11,5.193877551020408,24,3.7916666666666665
Cluster = 4;N = 100,12,5.747474747474748,21,4.0476190476190474
Cluster = 4;N = 100,11,5.3232323232323235,23,3.9130434782608696
Cluster = 4;N = 100,10,4.785714285714286,23,3.739130434782609
Cluster = 4;N = 100,11,5.221052631578948,21,4.142857142857143
Cluster = 4;N = 100,11,5.587628865979381,22,3.9545454545454546
Cluster = 4;N = 100,10,4.95959595959596,24,4
Cluster = 4;N = 100,11,5.0606060606060606,22,3.772727272727273
Cluster = 4;N = 100,11,5.360824742268041,22,3.909090909090909
Cluster = 4;N = 100,10,4.8,24,3.7916666666666665
Cluster = 4;N = 100,11,5.309278350515464,22,3.8181818181818183
Cluster = 4;N = 100,11,5.449999999999999,24,3.7916666666666665
Cluster = 4;N = 100,10,5.159999999999999,23,4
Cluster = 4;N = 100,10,4.868686868686869,23,3.9130434782608696
Cluster = 4;N = 100,11,5.555555555555556,22,3.8181818181818183
Cluster = 4;N = 100,11,5.242424242424242,24,3.5833333333333335
Cluster = 4;N = 100,11,5.449999999999999,23,3.8260869565217392
Cluster = 4;N = 100,9,4.427083333333333,21,3.8095238095238093
Cluster = 4;N = 100,10,4.969072164948453,22,3.590909090909091
Cluster = 4;N = 100,11,5.09,20,4.2
Cluster = 4;N = 100,10,4.757575757575758,20,4.1
Cluster = 4;N = 100,10,4.704081632653061,23,3.739130434782609
Cluster = 4;N = 100,10,4.814432989690721,23,3.608695652173913
Cluster = 4;N = 100,13,6.121212121212122,24,3.8333333333333335
Cluster = 4;N = 100,9,4.44,23,3.8260869565217392
Cluster = 5;N = 100,11,5.083333333333335,18,4.944444444444445
Cluster = 5;N = 100,10,4.63,19,4.157894736842105
Cluster = 5;N = 100,9,4.510000000000001,19,4.157894736842105
Cluster = 5;N = 100,11,5.151515151515151,19,4.842105263157895
Cluster = 5;N = 100,11,5.09,19,4.842105263157895
Cluster = 5;N = 100,10,4.819999999999999,19,4.315789473684211
Cluster = 5;N = 100,11,5.255102040816325,18,4.388888888888889
Cluster = 5;N = 100,11,5.25,18,4.888888888888889
Cluster = 5;N = 100,10,4.969999999999999,17,4.176470588235294
Cluster = 5;N = 100,12,5.79,19,4.578947368421052
Cluster = 5;N = 100,11,5.370000000000001,18,5.222222222222222
Cluster = 5;N = 100,9,4.37,18,4.944444444444445
Cluster = 5;N = 100,9,4.526315789473685,18,4.388888888888889
Cluster = 5;N = 100,11,5.31,18,5.055555555555555
Cluster = 5;N = 100,12,5.91,18,5
Cluster = 5;N = 100,11,5.51,19,4.894736842105263
Cluster = 5;N = 100,10,4.5858585858585865,18,4.555555555555555
Cluster = 5;N = 100,10,4.6701030927835046,17,4.9411764705882355
Cluster = 5;N = 100,10,4.98989898989899,19,4.526315789473684
Cluster = 5;N = 100,11,5.121212121212122,19,4.631578947368421
Cluster = 5;N = 100,10,4.842105263157895,17,4.411764705882353
Cluster = 5;N = 100,12,5.59,19,4.631578947368421
Cluster = 5;N = 100,11,5.391752577319587,18,4.611111111111111
Cluster = 5;N = 100,10,4.7979797979797985,18,4.777777777777778
Cluster = 5;N = 100,11,5.263736263736264,17,4.705882352941177
Cluster = 5;N = 100,11,5.191919191919192,18,4.888888888888889
Cluster = 5;N = 100,11,5.2299999999999995,19,4.7368421052631575
Cluster = 5;N = 100,9,4.642857142857142,18,4.666666666666667
Cluster = 5;N = 100,11,5.06,19,4.526315789473684
Cluster = 5;N = 100,11,4.99,19,4.7894736842105265
Cluster = 5;N = 100,9,4.469387755102041,18,5
Cluster = 5;N = 100,11,5.05,18,4.666666666666667
Cluster = 5;N = 100,10,4.819999999999999,19,3.5789473684210527
Cluster = 5;N = 100,10,4.857142857142857,18,4.555555555555555
Cluster = 5;N = 100,9,4.59,18,4.555555555555555
Cluster = 5;N = 100,10,4.726315789473684,16,4.6875
Cluster = 5;N = 100,11,4.7700000000000005,18,4.944444444444445
Cluster = 5;N = 100,10,4.8,19,4.684210526315789
Cluster = 5;N = 100,9,4.42,19,4.894736842105263
Cluster = 6;N = 100,9,4.444444444444445,16,5.6875
Cluster = 6;N = 100,11,5.000000000000001,15,5.2
Cluster = 6;N = 100,12,5.930000000000001,16,5
Cluster = 6;N = 100,10,4.858585858585858,16,5.625
Cluster = 6;N = 100,10,4.859999999999999,16,3.9375
Cluster = 6;N = 100,12,5.66,16,5.3125
Cluster = 6;N = 100,10,4.848484848484849,16,5.75
Cluster = 6;N = 100,10,4.5,16,5.5625
Cluster = 6;N = 100,12,5.66,16,5.0625
Cluster = 6;N = 100,11,5.01010101010101,16,5.3125
Cluster = 6;N = 100,10,4.755102040816327,15,5.266666666666667
Cluster = 6;N = 100,10,4.89,16,4.8125
Cluster = 6;N = 100,11,5.24,16,5.6875
Cluster = 6;N = 100,10,4.81,16,4.875
Cluster = 6;N = 100,10,5.029999999999999,16,5.3125
Cluster = 6;N = 100,11,5.343434343434344,16,5.625
Cluster = 6;N = 100,10,4.846938775510204,14,5.928571428571429
Cluster = 6;N = 100,10,4.8989898989899,16,5.3125
Cluster = 6;N = 100,11,5.48,16,5.375
Cluster = 6;N = 100,11,5.262626262626263,15,5.8
Cluster = 6;N = 100,10,4.76,16,5.625
Cluster = 6;N = 100,10,4.85,16,5.1875
Cluster = 6;N = 100,10,4.8500000000000005,16,5.5625
Cluster = 6;N = 100,10,4.6,16,5.4375
Cluster = 6;N = 100,10,4.75,16,5.0625
Cluster = 6;N = 100,10,4.75,16,5.125
Cluster = 6;N = 100,9,4.470000000000001,16,5.25
Cluster = 6;N = 100,10,4.840000000000001,14,6.428571428571429
Cluster = 6;N = 100,10,4.95959595959596,16,5.5
Cluster = 6;N = 100,10,4.73,16,5.8125
Cluster = 6;N = 100,11,5.34,16,4.6875
Cluster = 6;N = 100,10,4.720000000000001,16,5.0625
Cluster = 6;N = 100,10,4.75,16,5.25
Cluster = 6;N = 100,11,5.38,16,5.4375
Cluster = 6;N = 100,9,4.48,16,5.25
Cluster = 6;N = 100,10,4.808080808080808,15,5.733333333333333
Cluster = 6;N = 100,12,5.7299999999999995,16,5.1875
Cluster = 6;N = 100,9,4.505154639175258,14,5.928571428571429
Cluster = 6;N = 100,11,5.05050505050505,16,4.625
Cluster = 6;N = 100,10,4.571428571428571,15,5.533333333333333
Cluster = 5;N = 250,16,7.128,49,4.755102040816326
Cluster = 5;N = 250,17,7.555999999999999,48,4.666666666666667
Cluster = 5;N = 250,17,7.823293172690762,48,5.020833333333333
Cluster = 5;N = 250,15,6.936,49,4.877551020408164
Cluster = 5;N = 250,18,8.472,49,4.816326530612245
Cluster = 5;N = 250,16,7.4799999999999995,49,4.73469387755102
Cluster = 5;N = 250,17,7.483999999999999,49,4.673469387755102
Cluster = 5;N = 250,15,6.690763052208836,48,4.916666666666667
Cluster = 5;N = 250,16,7.120000000000001,48,4.791666666666667
Cluster = 5;N = 250,17,7.627999999999998,49,4.775510204081633
Cluster = 5;N = 250,19,8.563999999999998,46,4.978260869565218
Cluster = 5;N = 250,17,7.731999999999999,46,4.978260869565218
Cluster = 5;N = 250,15,6.924,47,5.127659574468085
Cluster = 5;N = 250,17,7.58,47,4.76595744680851
Cluster = 5;N = 250,15,6.935999999999999,47,4.723404255319149
Cluster = 5;N = 250,17,7.3413654618473885,46,5.130434782608695
Cluster = 5;N = 250,16,7.271999999999999,49,4.346938775510204
Cluster = 5;N = 250,15,6.924,47,4.9787234042553195
Cluster = 5;N = 250,18,8.432,48,5
Cluster = 5;N = 250,17,7.495999999999999,49,4.836734693877551
Cluster = 5;N = 250,17,7.6,49,4.775510204081633
Cluster = 5;N = 250,17,7.528,47,4.723404255319149
Cluster = 5;N = 250,18,8.427999999999999,48,5
Cluster = 5;N = 250,16,7.359999999999999,47,4.829787234042553
Cluster = 5;N = 250,17,7.864,49,4.795918367346939
Cluster = 5;N = 250,17,7.5920000000000005,48,4.958333333333333
Cluster = 5;N = 250,16,7.21285140562249,49,4.714285714285714
Cluster = 5;N = 250,16,7.171999999999999,47,4.723404255319149
Cluster = 5;N = 250,16,7.148000000000001,44,5.25
Cluster = 5;N = 250,17,7.324,49,4.591836734693878
Cluster = 5;N = 250,17,7.524,48,4.833333333333333
Cluster = 5;N = 250,18,8.212,48,4.875
Cluster = 5;N = 250,17,7.639999999999999,47,5.042553191489362
Cluster = 5;N = 250,16,7.699999999999999,48,4.916666666666667
Cluster = 5;N = 250,16,7.212,47,4.851063829787234
Cluster = 5;N = 250,16,7.303999999999999,48,4.770833333333333
Cluster = 5;N = 250,15,6.700000000000001,48,4.979166666666667
Cluster = 5;N = 250,17,7.832000000000001,48,4.708333333333333
Cluster = 5;N = 250,15,6.88,49,4.612244897959184
Cluster = 5;N = 250,17,7.595999999999999,49,4.959183673469388
Cluster = 5;N = 500,23,10.224000000000002,96,5.09375
Cluster = 5;N = 500,23,10.536000000000001,99,4.9393939393939394
Cluster = 5;N = 500,22,10.154,99,4.848484848484849
Cluster = 5;N = 500,22,9.932000000000002,98,4.928571428571429
Cluster = 5;N = 500,25,10.675999999999998,98,4.8979591836734695
Cluster = 5;N = 500,24,10.920000000000003,99,4.94949494949495
Cluster = 5;N = 500,22,9.948,98,4.938775510204081
Cluster = 5;N = 500,27,11.611999999999998,97,4.938144329896907
Cluster = 5;N = 500,22,9.817999999999998,96,4.96875
Cluster = 5;N = 500,24,10.592,98,4.846938775510204
Cluster = 5;N = 500,22,9.338,98,4.816326530612245
Cluster = 5;N = 500,22,9.812,97,5.061855670103093
Cluster = 5;N = 500,22,9.9,98,4.928571428571429
Cluster = 5;N = 500,23,10.564000000000002,98,4.938775510204081
Cluster = 5;N = 500,23,10.332,97,4.77319587628866
Cluster = 5;N = 500,28,11.931999999999999,98,4.908163265306122
Cluster = 5;N = 500,21,9.521042084168336,97,5.072164948453608
Cluster = 5;N = 500,25,10.581999999999999,98,4.704081632653061
Cluster = 5;N = 500,24,10.158,99,4.96969696969697
Cluster = 5;N = 500,24,10.346000000000002,95,5.094736842105263
Cluster = 5;N = 500,24,10.856,98,4.959183673469388
Cluster = 5;N = 500,24,10.778,99,4.929292929292929
Cluster = 5;N = 500,23,10.185999999999998,98,4.836734693877551
Cluster = 5;N = 500,23,10.013999999999998,99,4.91919191919192
Cluster = 5;N = 500,23,10.264,98,4.8979591836734695
Cluster = 5;N = 500,23,9.816,95,4.894736842105263
Cluster = 5;N = 500,24,10.542000000000002,99,4.777777777777778
Cluster = 5;N = 500,25,10.982,98,4.928571428571429
Cluster = 5;N = 500,22,9.524000000000001,99,4.848484848484849
Cluster = 5;N = 500,27,11.100000000000003,98,4.8979591836734695
Cluster = 5;N = 500,24,10.743999999999998,96,4.822916666666667
Cluster = 5;N = 500,25,11.144,98,4.785714285714286
Cluster = 5;N = 500,24,10.592,98,4.775510204081633
Cluster = 5;N = 500,25,10.858,95,4.91578947368421
Cluster = 5;N = 500,23,10.1,99,4.848484848484849
Cluster = 5;N = 500,25,11.128,98,4.8979591836734695
Cluster = 5;N = 500,24,10.622000000000002,97,4.979381443298969
Cluster = 5;N = 500,22,9.889999999999997,97,4.927835051546392
Cluster = 5;N = 500,24,10.232,97,4.948453608247423
Cluster = 5;N = 500,23,10.23,97,4.865979381443299
Cluster = 5;N = 1000,35,14.572999999999999,194,4.989690721649485
Cluster = 5;N = 1000,35,15.128,198,4.954545454545454
Cluster = 5;N = 1000,35,14.799000000000003,196,4.933673469387755
Cluster = 5;N = 1000,33,14.099000000000002,196,5.035714285714286
Cluster = 5;N = 1000,36,15.456,197,4.959390862944162
Cluster = 5;N = 1000,35,14.756,197,4.964467005076142
Cluster = 5;N = 1000,34,14.319999999999997,197,4.908629441624366
Cluster = 5;N = 1000,33,13.990999999999998,197,4.934010152284264
Cluster = 5;N = 1000,35,15.045000000000003,198,4.96969696969697
Cluster = 5;N = 1000,35,15.181999999999999,199,4.944723618090452
Cluster = 5;N = 1000,34,14.555000000000001,194,5
Cluster = 5;N = 1000,33,14.615000000000002,197,4.974619289340102
Cluster = 5;N = 1000,32,13.903,195,5.076923076923077
Cluster = 5;N = 1000,32,14.267,195,5.051282051282051
Cluster = 5;N = 1000,33,14.187000000000001,194,5.046391752577319
Cluster = 5;N = 1000,31,13.827999999999998,195,4.964102564102564
Cluster = 5;N = 1000,32,13.999,197,4.944162436548224
Cluster = 5;N = 1000,33,14.168000000000003,196,4.98469387755102
Cluster = 5;N = 1000,32,13.466,198,4.924242424242424
Cluster = 5;N = 1000,34,14.625,193,5.010362694300518
Cluster = 5;N = 1000,33,13.857999999999997,198,4.954545454545454
Cluster = 5;N = 1000,34,14.398999999999997,198,4.9646464646464645
Cluster = 5;N = 1000,36,15.135,196,4.918367346938775
Cluster = 5;N = 1000,34,14.418,196,4.948979591836735
Cluster = 5;N = 1000,35,14.721,194,5.087628865979381
Cluster = 5;N = 1000,34,14.898,197,4.9238578680203045
Cluster = 5;N = 1000,35,14.600999999999999,196,4.862244897959184
Cluster = 5;N = 1000,39,16.225,199,4.889447236180905
Cluster = 5;N = 1000,33,13.733000000000002,197,4.888324873096447
Cluster = 5;N = 1000,33,14.099000000000004,198,4.984848484848484
Cluster = 5;N = 1000,36,14.645,194,5.010309278350515
Cluster = 5;N = 1000,33,14.709000000000001,195,4.917948717948718
Cluster = 5;N = 1000,33,13.854999999999997,198,4.98989898989899
Cluster = 5;N = 1000,35,14.798,192,5.114583333333333
Cluster = 5;N = 1000,34,15.098000000000003,197,4.969543147208122
Cluster = 5;N = 1000,32,13.746000000000002,195,5.015384615384615
Cluster = 5;N = 1000,34,14.460999999999995,198,4.883838383838384
Cluster = 5;N = 1000,32,13.192,195,4.943589743589744
Cluster = 5;N = 1000,33,14.151999999999997,191,5.0732984293193715
Cluster = 5;N = 1000,31,13.610999999999995,197,4.9847715736040605
